[2024-04-02T14:06:49.027+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  7% 27.1M 6s
[2024-04-02T14:06:49.033+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  7% 5.85M 6s
[2024-04-02T14:06:49.043+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  7% 68.3M 6s
[2024-04-02T14:06:49.045+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  7% 8.58M 6s
[2024-04-02T14:06:49.047+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  7% 18.0M 6s
[2024-04-02T14:06:49.048+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... ..........  7%  142M 6s
[2024-04-02T14:06:49.051+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... ..........  7%  165M 6s
[2024-04-02T14:06:49.053+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  7% 6.40M 6s
[2024-04-02T14:06:49.060+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  8% 32.2M 6s
[2024-04-02T14:06:49.062+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  8%  246M 6s
[2024-04-02T14:06:49.062+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  8% 39.7M 6s
[2024-04-02T14:06:49.063+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  8% 12.0M 6s
[2024-04-02T14:06:49.064+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  8%  390M 6s
[2024-04-02T14:06:49.064+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... ..........  8% 12.3M 5s
[2024-04-02T14:06:49.074+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... ..........  8% 3.67M 6s
[2024-04-02T14:06:49.077+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  8%  112M 5s
[2024-04-02T14:06:49.078+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  9% 97.3M 5s
[2024-04-02T14:06:49.079+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  9%  220M 5s
[2024-04-02T14:06:49.087+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... ..........  9% 29.3M 5s
[2024-04-02T14:06:49.089+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  9% 4.70M 5s
[2024-04-02T14:06:49.090+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  9%  354M 5s
[2024-04-02T14:06:49.091+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  9%  318M 5s
[2024-04-02T14:06:49.092+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  9%  261M 5s
[2024-04-02T14:06:49.094+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... .......... 10% 32.4M 5s
[2024-04-02T14:06:49.095+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... .......... 10%  363M 5s
[2024-04-02T14:06:49.097+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... .......... 10% 40.6M 5s
[2024-04-02T14:06:49.114+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... .......... 10% 28.9M 5s
[2024-04-02T14:06:49.132+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... .......... 10% 15.7M 5s
[2024-04-02T14:06:49.133+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... .......... 10% 4.59M 5s
[2024-04-02T14:06:49.135+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... .......... 10%  217M 5s
[2024-04-02T14:06:49.136+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... .......... 10%  291M 5s
[2024-04-02T14:06:49.141+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... .......... 11%  328M 5s
[2024-04-02T14:06:49.142+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... .......... 11% 11.1M 5s
[2024-04-02T14:06:49.160+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... .......... 11%  283M 4s
[2024-04-02T14:06:49.264+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... .......... 11%  383M 4s
[2024-04-02T14:06:49.267+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... .......... 11%  336M 4s
[2024-04-02T14:06:49.271+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... .......... 11% 3.93M 4s
[2024-04-02T14:06:49.278+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... .......... 11%  221M 4s
[2024-04-02T14:06:49.304+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... .......... 11% 22.3M 4s
[2024-04-02T14:06:49.323+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... .......... 12% 15.0M 4s
[2024-04-02T14:06:49.373+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... .......... 12%  103M 4s
[2024-04-02T14:06:49.385+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... .......... 12% 87.6M 4s
[2024-04-02T14:06:49.402+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... .......... 12% 80.3M 4s
[2024-04-02T14:06:49.418+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... .......... 12% 51.0M 4s
[2024-04-02T14:06:49.425+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... .......... 12% 30.6M 4s
[2024-04-02T14:06:49.433+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... .......... 12% 7.81M 4s
[2024-04-02T14:06:49.434+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... .......... 13%  222M 4s
[2024-04-02T14:06:49.436+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... .......... 13%  257M 4s
[2024-04-02T14:06:49.462+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... .......... 13%  163M 4s
[2024-04-02T14:06:49.467+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 13% 27.3M 4s
[2024-04-02T14:06:49.504+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... .......... 13% 3.04M 4s
[2024-04-02T14:06:49.517+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... .......... 13% 28.2M 4s
[2024-04-02T14:06:49.520+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... .......... 13%  157M 4s
[2024-04-02T14:06:49.528+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... .......... 13% 1.72M 4s
[2024-04-02T14:06:49.533+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 14%  190M 4s
[2024-04-02T14:06:49.537+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... .......... 14%  357M 4s
[2024-04-02T14:06:49.540+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 14%  106M 4s
[2024-04-02T14:06:49.552+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... .......... 14%  244M 4s
[2024-04-02T14:06:49.556+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 14%  265M 4s
[2024-04-02T14:06:49.562+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 14%  253M 4s
[2024-04-02T14:06:49.566+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... .......... 14%  287M 4s
[2024-04-02T14:06:49.568+0000] {subprocess.py:93} INFO -   5700K .......... .......... .......... .......... .......... 14% 10.3M 4s
[2024-04-02T14:06:49.570+0000] {subprocess.py:93} INFO -   5750K .......... .......... .......... .......... .......... 15%  152M 4s
[2024-04-02T14:06:49.573+0000] {subprocess.py:93} INFO -   5800K .......... .......... .......... .......... .......... 15%  274M 4s
[2024-04-02T14:06:49.575+0000] {subprocess.py:93} INFO -   5850K .......... .......... .......... .......... .......... 15%  114M 4s
[2024-04-02T14:06:49.581+0000] {subprocess.py:93} INFO -   5900K .......... .......... .......... .......... .......... 15% 19.3M 4s
[2024-04-02T14:06:49.581+0000] {subprocess.py:93} INFO -   5950K .......... .......... .......... .......... .......... 15% 7.41M 4s
[2024-04-02T14:06:49.582+0000] {subprocess.py:93} INFO -   6000K .......... .......... .......... .......... .......... 15%  229M 4s
[2024-04-02T14:06:49.583+0000] {subprocess.py:93} INFO -   6050K .......... .......... .......... .......... .......... 15% 25.7M 4s
[2024-04-02T14:06:49.583+0000] {subprocess.py:93} INFO -   6100K .......... .......... .......... .......... .......... 16% 10.3M 4s
[2024-04-02T14:06:49.584+0000] {subprocess.py:93} INFO -   6150K .......... .......... .......... .......... .......... 16% 30.3M 4s
[2024-04-02T14:06:49.585+0000] {subprocess.py:93} INFO -   6200K .......... .......... .......... .......... .......... 16% 26.4M 3s
[2024-04-02T14:06:49.585+0000] {subprocess.py:93} INFO -   6250K .......... .......... .......... .......... .......... 16% 32.5M 3s
[2024-04-02T14:06:49.593+0000] {subprocess.py:93} INFO -   6300K .......... .......... .......... .......... .......... 16% 35.2M 3s
[2024-04-02T14:06:49.596+0000] {subprocess.py:93} INFO -   6350K .......... .......... .......... .......... .......... 16% 14.2M 3s
[2024-04-02T14:06:49.598+0000] {subprocess.py:93} INFO -   6400K .......... .......... .......... .......... .......... 16% 9.48M 3s
[2024-04-02T14:06:49.602+0000] {subprocess.py:93} INFO -   6450K .......... .......... .......... .......... .......... 16% 5.79M 3s
[2024-04-02T14:06:49.604+0000] {subprocess.py:93} INFO -   6500K .......... .......... .......... .......... .......... 17%  359M 3s
[2024-04-02T14:06:49.606+0000] {subprocess.py:93} INFO -   6550K .......... .......... .......... .......... .......... 17% 15.8M 3s
[2024-04-02T14:06:49.609+0000] {subprocess.py:93} INFO -   6600K .......... .......... .......... .......... .......... 17% 42.6M 3s
[2024-04-02T14:06:49.611+0000] {subprocess.py:93} INFO -   6650K .......... .......... .......... .......... .......... 17% 4.52M 3s
[2024-04-02T14:06:49.612+0000] {subprocess.py:93} INFO -   6700K .......... .......... .......... .......... .......... 17% 1.53M 3s
[2024-04-02T14:06:49.613+0000] {subprocess.py:93} INFO -   6750K .......... .......... .......... .......... .......... 17% 23.2M 3s
[2024-04-02T14:06:49.614+0000] {subprocess.py:93} INFO -   6800K .......... .......... .......... .......... .......... 17% 31.7M 3s
[2024-04-02T14:06:49.616+0000] {subprocess.py:93} INFO -   6850K .......... .......... .......... .......... .......... 17% 22.7M 3s
[2024-04-02T14:06:49.617+0000] {subprocess.py:93} INFO -   6900K .......... .......... .......... .......... .......... 18% 38.1M 3s
[2024-04-02T14:06:49.618+0000] {subprocess.py:93} INFO -   6950K .......... .......... .......... .......... .......... 18% 22.0M 3s
[2024-04-02T14:06:49.620+0000] {subprocess.py:93} INFO -   7000K .......... .......... .......... .......... .......... 18% 83.2M 3s
[2024-04-02T14:06:49.622+0000] {subprocess.py:93} INFO -   7050K .......... .......... .......... .......... .......... 18% 32.3M 3s
[2024-04-02T14:06:49.623+0000] {subprocess.py:93} INFO -   7100K .......... .......... .......... .......... .......... 18% 50.1M 3s
[2024-04-02T14:06:49.624+0000] {subprocess.py:93} INFO -   7150K .......... .......... .......... .......... .......... 18% 15.7M 3s
[2024-04-02T14:06:49.626+0000] {subprocess.py:93} INFO -   7200K .......... .......... .......... .......... .......... 18%  286M 3s
[2024-04-02T14:06:49.627+0000] {subprocess.py:93} INFO -   7250K .......... .......... .......... .......... .......... 18% 97.9M 3s
[2024-04-02T14:06:49.628+0000] {subprocess.py:93} INFO -   7300K .......... .......... .......... .......... .......... 19%  404M 3s
[2024-04-02T14:06:49.630+0000] {subprocess.py:93} INFO -   7350K .......... .......... .......... .......... .......... 19%  362M 3s
[2024-04-02T14:06:49.632+0000] {subprocess.py:93} INFO -   7400K .......... .......... .......... .......... .......... 19%  386M 3s
[2024-04-02T14:06:49.633+0000] {subprocess.py:93} INFO -   7450K .......... .......... .......... .......... .......... 19%  386M 3s
[2024-04-02T14:06:49.637+0000] {subprocess.py:93} INFO -   7500K .......... .......... .......... .......... .......... 19%  150M 3s
[2024-04-02T14:06:49.640+0000] {subprocess.py:93} INFO -   7550K .......... .......... .......... .......... .......... 19%  302M 3s
[2024-04-02T14:06:49.647+0000] {subprocess.py:93} INFO -   7600K .......... .......... .......... .......... .......... 19%  393M 3s
[2024-04-02T14:06:49.652+0000] {subprocess.py:93} INFO -   7650K .......... .......... .......... .......... .......... 20%  414M 3s
[2024-04-02T14:06:49.658+0000] {subprocess.py:93} INFO -   7700K .......... .......... .......... .......... .......... 20%  352M 3s
[2024-04-02T14:06:49.662+0000] {subprocess.py:93} INFO -   7750K .......... .......... .......... .......... .......... 20%  297M 3s
[2024-04-02T14:06:49.669+0000] {subprocess.py:93} INFO -   7800K .......... .......... .......... .......... .......... 20%  180M 3s
[2024-04-02T14:06:49.671+0000] {subprocess.py:93} INFO -   7850K .......... .......... .......... .......... .......... 20%  293M 3s
[2024-04-02T14:06:49.675+0000] {subprocess.py:93} INFO -   7900K .......... .......... .......... .......... .......... 20% 2.82M 3s
[2024-04-02T14:06:49.683+0000] {subprocess.py:93} INFO -   7950K .......... .......... .......... .......... .......... 20% 5.43M 3s
[2024-04-02T14:06:49.686+0000] {subprocess.py:93} INFO -   8000K .......... .......... .......... .......... .......... 20%  276M 3s
[2024-04-02T14:06:49.690+0000] {subprocess.py:93} INFO -   8050K .......... .......... .......... .......... .......... 21%  249M 3s
[2024-04-02T14:06:49.692+0000] {subprocess.py:93} INFO -   8100K .......... .......... .......... .......... .......... 21%  301M 3s
[2024-04-02T14:06:49.699+0000] {subprocess.py:93} INFO -   8150K .......... .......... .......... .......... .......... 21% 25.2M 3s
[2024-04-02T14:06:49.709+0000] {subprocess.py:93} INFO -   8200K .......... .......... .......... .......... .......... 21% 65.3M 3s
[2024-04-02T14:06:49.710+0000] {subprocess.py:93} INFO -   8250K .......... .......... .......... .......... .......... 21%  160M 3s
[2024-04-02T14:06:49.711+0000] {subprocess.py:93} INFO -   8300K .......... .......... .......... .......... .......... 21% 70.8M 3s
[2024-04-02T14:06:49.712+0000] {subprocess.py:93} INFO -   8350K .......... .......... .......... .......... .......... 21% 42.9M 3s
[2024-04-02T14:06:49.715+0000] {subprocess.py:93} INFO -   8400K .......... .......... .......... .......... .......... 21% 22.7M 3s
[2024-04-02T14:06:49.716+0000] {subprocess.py:93} INFO -   8450K .......... .......... .......... .......... .......... 22% 28.4M 3s
[2024-04-02T14:06:49.717+0000] {subprocess.py:93} INFO -   8500K .......... .......... .......... .......... .......... 22% 9.72M 3s
[2024-04-02T14:06:49.720+0000] {subprocess.py:93} INFO -   8550K .......... .......... .......... .......... .......... 22% 3.87M 3s
[2024-04-02T14:06:49.721+0000] {subprocess.py:93} INFO -   8600K .......... .......... .......... .......... .......... 22% 22.0M 3s
[2024-04-02T14:06:49.732+0000] {subprocess.py:93} INFO -   8650K .......... .......... .......... .......... .......... 22% 18.7M 3s
[2024-04-02T14:06:49.738+0000] {subprocess.py:93} INFO -   8700K .......... .......... .......... .......... .......... 22% 89.5M 3s
