[2024-03-26T08:23:09.581+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  7% 27.8M 11s
[2024-03-26T08:23:09.584+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  7% 5.01M 11s
[2024-03-26T08:23:09.588+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  7% 16.4M 11s
[2024-03-26T08:23:09.597+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  7% 17.0M 11s
[2024-03-26T08:23:09.604+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... ..........  7% 6.30M 10s
[2024-03-26T08:23:09.605+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... ..........  7% 8.52M 10s
[2024-03-26T08:23:09.607+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... ..........  7% 39.7M 10s
[2024-03-26T08:23:09.620+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... ..........  7% 78.9M 10s
[2024-03-26T08:23:09.633+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... ..........  8% 4.67M 10s
[2024-03-26T08:23:09.636+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... ..........  8% 64.5M 10s
[2024-03-26T08:23:09.647+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... ..........  8% 2.80M 10s
[2024-03-26T08:23:09.650+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... ..........  8% 2.76M 10s
[2024-03-26T08:23:09.651+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... ..........  8% 17.6M 10s
[2024-03-26T08:23:09.652+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... ..........  8% 21.4M 10s
[2024-03-26T08:23:09.653+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... ..........  8% 8.72M 10s
[2024-03-26T08:23:09.654+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... ..........  8% 4.84M 10s
[2024-03-26T08:23:09.660+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... ..........  8% 23.3M 10s
[2024-03-26T08:23:09.665+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... ..........  8% 61.2M 10s
[2024-03-26T08:23:09.667+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... ..........  9% 16.3M 10s
[2024-03-26T08:23:09.667+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... ..........  9% 10.4M 9s
[2024-03-26T08:23:09.669+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... ..........  9% 14.9M 9s
[2024-03-26T08:23:09.670+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... ..........  9% 6.82M 9s
[2024-03-26T08:23:09.674+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... ..........  9% 13.5M 9s
[2024-03-26T08:23:09.677+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... ..........  9% 15.2M 9s
[2024-03-26T08:23:09.679+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... ..........  9% 40.7M 9s
[2024-03-26T08:23:09.683+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... ..........  9% 9.34M 9s
[2024-03-26T08:23:09.686+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... ..........  9% 21.2M 9s
[2024-03-26T08:23:09.688+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... ..........  9% 19.3M 9s
[2024-03-26T08:23:09.690+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... .......... 10% 20.8M 9s
[2024-03-26T08:23:09.694+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... .......... 10%  233M 9s
[2024-03-26T08:23:09.700+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 10% 12.5M 9s
[2024-03-26T08:23:09.710+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... .......... 10% 99.2M 9s
[2024-03-26T08:23:09.711+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... .......... 10%  108M 8s
[2024-03-26T08:23:09.713+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... .......... 10% 9.13M 8s
[2024-03-26T08:23:09.714+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... .......... 10%  303M 8s
[2024-03-26T08:23:09.718+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 10%  228M 8s
[2024-03-26T08:23:09.718+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... .......... 10%  102M 8s
[2024-03-26T08:23:09.720+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 10% 7.35M 8s
[2024-03-26T08:23:09.721+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... .......... 11% 13.3M 8s
[2024-03-26T08:23:09.722+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 11% 19.3M 8s
[2024-03-26T08:23:09.723+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 11% 15.5M 8s
[2024-03-26T08:23:09.723+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... .......... 11% 31.8M 8s
[2024-03-26T08:23:09.725+0000] {subprocess.py:93} INFO -   5700K .......... .......... .......... .......... .......... 11% 16.5M 8s
[2024-03-26T08:23:09.727+0000] {subprocess.py:93} INFO -   5750K .......... .......... .......... .......... .......... 11% 26.2M 8s
[2024-03-26T08:23:09.729+0000] {subprocess.py:93} INFO -   5800K .......... .......... .......... .......... .......... 11%  381M 8s
[2024-03-26T08:23:09.730+0000] {subprocess.py:93} INFO -   5850K .......... .......... .......... .......... .......... 11% 8.07M 8s
[2024-03-26T08:23:09.735+0000] {subprocess.py:93} INFO -   5900K .......... .......... .......... .......... .......... 11% 26.0M 8s
[2024-03-26T08:23:09.736+0000] {subprocess.py:93} INFO -   5950K .......... .......... .......... .......... .......... 11% 13.0M 8s
[2024-03-26T08:23:09.738+0000] {subprocess.py:93} INFO -   6000K .......... .......... .......... .......... .......... 12% 19.1M 8s
[2024-03-26T08:23:09.739+0000] {subprocess.py:93} INFO -   6050K .......... .......... .......... .......... .......... 12%  182M 7s
[2024-03-26T08:23:09.743+0000] {subprocess.py:93} INFO -   6100K .......... .......... .......... .......... .......... 12% 11.6M 7s
[2024-03-26T08:23:09.747+0000] {subprocess.py:93} INFO -   6150K .......... .......... .......... .......... .......... 12% 12.2M 7s
[2024-03-26T08:23:09.748+0000] {subprocess.py:93} INFO -   6200K .......... .......... .......... .......... .......... 12% 28.4M 7s
[2024-03-26T08:23:09.752+0000] {subprocess.py:93} INFO -   6250K .......... .......... .......... .......... .......... 12% 12.8M 7s
[2024-03-26T08:23:09.756+0000] {subprocess.py:93} INFO -   6300K .......... .......... .......... .......... .......... 12% 19.8M 7s
[2024-03-26T08:23:09.761+0000] {subprocess.py:93} INFO -   6350K .......... .......... .......... .......... .......... 12% 67.7M 7s
[2024-03-26T08:23:09.765+0000] {subprocess.py:93} INFO -   6400K .......... .......... .......... .......... .......... 12% 25.2M 7s
[2024-03-26T08:23:09.769+0000] {subprocess.py:93} INFO -   6450K .......... .......... .......... .......... .......... 12% 45.0M 7s
[2024-03-26T08:23:09.771+0000] {subprocess.py:93} INFO -   6500K .......... .......... .......... .......... .......... 13% 73.6M 7s
[2024-03-26T08:23:09.787+0000] {subprocess.py:93} INFO -   6550K .......... .......... .......... .......... .......... 13% 12.1M 7s
[2024-03-26T08:23:09.788+0000] {subprocess.py:93} INFO -   6600K .......... .......... .......... .......... .......... 13% 17.3M 7s
[2024-03-26T08:23:09.789+0000] {subprocess.py:93} INFO -   6650K .......... .......... .......... .......... .......... 13% 67.1M 7s
[2024-03-26T08:23:09.791+0000] {subprocess.py:93} INFO -   6700K .......... .......... .......... .......... .......... 13% 39.6M 7s
[2024-03-26T08:23:09.793+0000] {subprocess.py:93} INFO -   6750K .......... .......... .......... .......... .......... 13% 19.0M 7s
[2024-03-26T08:23:09.796+0000] {subprocess.py:93} INFO -   6800K .......... .......... .......... .......... .......... 13%  215M 7s
[2024-03-26T08:23:09.798+0000] {subprocess.py:93} INFO -   6850K .......... .......... .......... .......... .......... 13% 3.25M 7s
[2024-03-26T08:23:09.803+0000] {subprocess.py:93} INFO -   6900K .......... .......... .......... .......... .......... 13%  145M 7s
[2024-03-26T08:23:09.804+0000] {subprocess.py:93} INFO -   6950K .......... .......... .......... .......... .......... 13% 65.4M 7s
