[2024-03-26T16:35:09.948+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... ..........  7%  606M 5s
[2024-03-26T16:35:09.966+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... ..........  8%  358M 5s
[2024-03-26T16:35:09.974+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... ..........  8%  577M 5s
[2024-03-26T16:35:09.977+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... ..........  8%  545M 5s
[2024-03-26T16:35:09.983+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... ..........  8%  526M 5s
[2024-03-26T16:35:09.985+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... ..........  8%  559M 5s
[2024-03-26T16:35:09.989+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... ..........  8%  378M 5s
[2024-03-26T16:35:09.999+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... ..........  8% 4.86M 5s
[2024-03-26T16:35:10.002+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... ..........  8% 69.8M 5s
[2024-03-26T16:35:10.007+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... ..........  8%  182M 5s
[2024-03-26T16:35:10.009+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... ..........  8%  376M 5s
[2024-03-26T16:35:10.025+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... ..........  9%  338M 5s
[2024-03-26T16:35:10.026+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... ..........  9%  395M 5s
[2024-03-26T16:35:10.034+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... ..........  9%  331M 4s
[2024-03-26T16:35:10.036+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... ..........  9%  376M 4s
[2024-03-26T16:35:10.042+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... ..........  9%  347M 4s
[2024-03-26T16:35:10.044+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... ..........  9% 4.46M 4s
[2024-03-26T16:35:10.055+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... ..........  9% 49.8M 4s
[2024-03-26T16:35:10.071+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... ..........  9% 33.9M 4s
[2024-03-26T16:35:10.072+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... ..........  9%  246M 4s
[2024-03-26T16:35:10.079+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... ..........  9%  417M 4s
[2024-03-26T16:35:10.080+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... .......... 10%  272M 4s
[2024-03-26T16:35:10.083+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... .......... 10% 4.10M 4s
[2024-03-26T16:35:10.095+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 10% 21.3M 4s
[2024-03-26T16:35:10.098+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... .......... 10% 97.1M 4s
[2024-03-26T16:35:10.106+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... .......... 10% 8.35M 4s
[2024-03-26T16:35:10.107+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... .......... 10% 5.05M 4s
[2024-03-26T16:35:10.118+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... .......... 10% 17.4M 4s
[2024-03-26T16:35:10.121+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 10%  156M 4s
[2024-03-26T16:35:10.128+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... .......... 10%  151M 4s
[2024-03-26T16:35:10.135+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 10% 6.11M 4s
[2024-03-26T16:35:10.143+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... .......... 11% 4.69M 4s
[2024-03-26T16:35:10.155+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 11% 38.3M 4s
[2024-03-26T16:35:10.157+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 11% 13.0M 4s
[2024-03-26T16:35:10.165+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... .......... 11% 28.4M 4s
[2024-03-26T16:35:10.166+0000] {subprocess.py:93} INFO -   5700K .......... .......... .......... .......... .......... 11% 76.8M 4s
[2024-03-26T16:35:10.168+0000] {subprocess.py:93} INFO -   5750K .......... .......... .......... .......... .......... 11% 6.12M 4s
[2024-03-26T16:35:10.179+0000] {subprocess.py:93} INFO -   5800K .......... .......... .......... .......... .......... 11% 10.5M 4s
[2024-03-26T16:35:10.181+0000] {subprocess.py:93} INFO -   5850K .......... .......... .......... .......... .......... 11% 8.77M 4s
