[2024-03-26T14:46:54.770+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... ..........  9%  344M 9s
[2024-03-26T14:46:54.770+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... ..........  9%  335M 9s
[2024-03-26T14:46:54.771+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... .......... 10%  344M 9s
[2024-03-26T14:46:54.771+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... .......... 10% 3.27M 9s
[2024-03-26T14:46:54.772+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 10%  179M 9s
[2024-03-26T14:46:54.773+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... .......... 10%  277M 9s
[2024-03-26T14:46:54.773+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... .......... 10%  380M 9s
[2024-03-26T14:46:54.774+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... .......... 10%  377M 9s
[2024-03-26T14:46:54.788+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... .......... 10%  346M 9s
[2024-03-26T14:46:54.796+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 10%  392M 9s
[2024-03-26T14:46:54.833+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... .......... 10%  394M 9s
[2024-03-26T14:46:54.850+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 10% 1.55M 9s
[2024-03-26T14:46:54.853+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... .......... 11%  306M 9s
[2024-03-26T14:46:54.864+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 11%  393M 9s
[2024-03-26T14:46:54.867+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 11%  272M 8s
[2024-03-26T14:46:54.879+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... .......... 11%  389M 8s
[2024-03-26T14:46:54.880+0000] {subprocess.py:93} INFO -   5700K .......... .......... .......... .......... .......... 11% 1.24M 9s
[2024-03-26T14:46:54.881+0000] {subprocess.py:93} INFO -   5750K .......... .......... .......... .......... .......... 11% 6.67M 9s
[2024-03-26T14:46:54.881+0000] {subprocess.py:93} INFO -   5800K .......... .......... .......... .......... .......... 11% 13.8M 8s
[2024-03-26T14:46:54.881+0000] {subprocess.py:93} INFO -   5850K .......... .......... .......... .......... .......... 11% 43.0M 8s
[2024-03-26T14:46:54.882+0000] {subprocess.py:93} INFO -   5900K .......... .......... .......... .......... .......... 11% 16.7M 8s
[2024-03-26T14:46:54.884+0000] {subprocess.py:93} INFO -   5950K .......... .......... .......... .......... .......... 11%  285M 8s
[2024-03-26T14:46:54.885+0000] {subprocess.py:93} INFO -   6000K .......... .......... .......... .......... .......... 12% 41.4M 8s
[2024-03-26T14:46:54.887+0000] {subprocess.py:93} INFO -   6050K .......... .......... .......... .......... .......... 12% 15.4M 8s
[2024-03-26T14:46:54.888+0000] {subprocess.py:93} INFO -   6100K .......... .......... .......... .......... .......... 12% 6.34M 8s
[2024-03-26T14:46:54.890+0000] {subprocess.py:93} INFO -   6150K .......... .......... .......... .......... .......... 12%  101M 8s
[2024-03-26T14:46:54.891+0000] {subprocess.py:93} INFO -   6200K .......... .......... .......... .......... .......... 12%  139M 8s
[2024-03-26T14:46:54.900+0000] {subprocess.py:93} INFO -   6250K .......... .......... .......... .......... .......... 12%  147M 8s
[2024-03-26T14:46:54.905+0000] {subprocess.py:93} INFO -   6300K .......... .......... .......... .......... .......... 12%  285M 8s
[2024-03-26T14:46:54.907+0000] {subprocess.py:93} INFO -   6350K .......... .......... .......... .......... .......... 12%  385M 8s
[2024-03-26T14:46:54.913+0000] {subprocess.py:93} INFO -   6400K .......... .......... .......... .......... .......... 12% 3.26M 8s
[2024-03-26T14:46:54.915+0000] {subprocess.py:93} INFO -   6450K .......... .......... .......... .......... .......... 12% 28.1M 8s
[2024-03-26T14:46:54.916+0000] {subprocess.py:93} INFO -   6500K .......... .......... .......... .......... .......... 13% 33.6M 8s
[2024-03-26T14:46:54.920+0000] {subprocess.py:93} INFO -   6550K .......... .......... .......... .......... .......... 13% 56.3M 8s
[2024-03-26T14:46:54.927+0000] {subprocess.py:93} INFO -   6600K .......... .......... .......... .......... .......... 13% 13.9M 8s
[2024-03-26T14:46:54.927+0000] {subprocess.py:93} INFO -   6650K .......... .......... .......... .......... .......... 13% 28.2M 8s
[2024-03-26T14:46:54.928+0000] {subprocess.py:93} INFO -   6700K .......... .......... .......... .......... .......... 13% 36.6M 7s
[2024-03-26T14:46:54.929+0000] {subprocess.py:93} INFO -   6750K .......... .......... .......... .......... .......... 13%  305M 7s
[2024-03-26T14:46:54.930+0000] {subprocess.py:93} INFO -   6800K .......... .......... .......... .......... .......... 13%  349M 7s
[2024-03-26T14:46:54.931+0000] {subprocess.py:93} INFO -   6850K .......... .......... .......... .......... .......... 13% 5.52M 7s
[2024-03-26T14:46:54.933+0000] {subprocess.py:93} INFO -   6900K .......... .......... .......... .......... .......... 13% 4.17M 7s
[2024-03-26T14:46:54.934+0000] {subprocess.py:93} INFO -   6950K .......... .......... .......... .......... .......... 13%  333M 7s
[2024-03-26T14:46:54.935+0000] {subprocess.py:93} INFO -   7000K .......... .......... .......... .......... .......... 14% 1.19M 7s
[2024-03-26T14:46:54.936+0000] {subprocess.py:93} INFO -   7050K .......... .......... .......... .......... .......... 14% 12.2M 7s
[2024-03-26T14:46:54.942+0000] {subprocess.py:93} INFO -   7100K .......... .......... .......... .......... .......... 14%  253M 7s
[2024-03-26T14:46:54.944+0000] {subprocess.py:93} INFO -   7150K .......... .......... .......... .......... .......... 14% 2.60M 7s
[2024-03-26T14:46:54.945+0000] {subprocess.py:93} INFO -   7200K .......... .......... .......... .......... .......... 14%  325M 7s
[2024-03-26T14:46:54.946+0000] {subprocess.py:93} INFO -   7250K .......... .......... .......... .......... .......... 14%  361M 7s
[2024-03-26T14:46:54.948+0000] {subprocess.py:93} INFO -   7300K .......... .......... .......... .......... .......... 14%  362M 7s
[2024-03-26T14:46:54.949+0000] {subprocess.py:93} INFO -   7350K .......... .......... .......... .......... .......... 14% 5.97M 7s
[2024-03-26T14:46:54.952+0000] {subprocess.py:93} INFO -   7400K .......... .......... .......... .......... .......... 14% 62.9M 7s
[2024-03-26T14:46:54.954+0000] {subprocess.py:93} INFO -   7450K .......... .......... .......... .......... .......... 14% 81.4M 7s
[2024-03-26T14:46:54.955+0000] {subprocess.py:93} INFO -   7500K .......... .......... .......... .......... .......... 15%  309M 7s
[2024-03-26T14:46:54.959+0000] {subprocess.py:93} INFO -   7550K .......... .......... .......... .......... .......... 15%  388M 7s
[2024-03-26T14:46:54.960+0000] {subprocess.py:93} INFO -   7600K .......... .......... .......... .......... .......... 15%  401M 7s
[2024-03-26T14:46:54.961+0000] {subprocess.py:93} INFO -   7650K .......... .......... .......... .......... .......... 15%  304M 7s
[2024-03-26T14:46:54.961+0000] {subprocess.py:93} INFO -   7700K .......... .......... .......... .......... .......... 15%  358M 7s
[2024-03-26T14:46:54.962+0000] {subprocess.py:93} INFO -   7750K .......... .......... .......... .......... .......... 15%  448M 7s
[2024-03-26T14:46:54.965+0000] {subprocess.py:93} INFO -   7800K .......... .......... .......... .......... .......... 15%  534M 7s
[2024-03-26T14:46:54.966+0000] {subprocess.py:93} INFO -   7850K .......... .......... .......... .......... .......... 15%  538M 7s
[2024-03-26T14:46:54.973+0000] {subprocess.py:93} INFO -   7900K .......... .......... .......... .......... .......... 15%  445M 7s
[2024-03-26T14:46:54.975+0000] {subprocess.py:93} INFO -   7950K .......... .......... .......... .......... .......... 15%  345M 7s
[2024-03-26T14:46:54.977+0000] {subprocess.py:93} INFO -   8000K .......... .......... .......... .......... .......... 16%  479M 7s
[2024-03-26T14:46:54.978+0000] {subprocess.py:93} INFO -   8050K .......... .......... .......... .......... .......... 16%  546M 7s
[2024-03-26T14:46:54.978+0000] {subprocess.py:93} INFO -   8100K .......... .......... .......... .......... .......... 16%  286M 6s
[2024-03-26T14:46:54.979+0000] {subprocess.py:93} INFO -   8150K .......... .......... .......... .......... .......... 16%  533M 6s
[2024-03-26T14:46:54.980+0000] {subprocess.py:93} INFO -   8200K .......... .......... .......... .......... .......... 16%  538M 6s
[2024-03-26T14:46:54.981+0000] {subprocess.py:93} INFO -   8250K .......... .......... .......... .......... .......... 16%  536M 6s
[2024-03-26T14:46:54.981+0000] {subprocess.py:93} INFO -   8300K .......... .......... .......... .......... .......... 16%  449M 6s
[2024-03-26T14:46:54.982+0000] {subprocess.py:93} INFO -   8350K .......... .......... .......... .......... .......... 16%  546M 6s
[2024-03-26T14:46:54.983+0000] {subprocess.py:93} INFO -   8400K .......... .......... .......... .......... .......... 16%  317M 6s
[2024-03-26T14:46:54.984+0000] {subprocess.py:93} INFO -   8450K .......... .......... .......... .......... .......... 16%  461M 6s
[2024-03-26T14:46:54.984+0000] {subprocess.py:93} INFO -   8500K .......... .......... .......... .......... .......... 17%  470M 6s
[2024-03-26T14:46:54.985+0000] {subprocess.py:93} INFO -   8550K .......... .......... .......... .......... .......... 17%  377M 6s
[2024-03-26T14:46:54.986+0000] {subprocess.py:93} INFO -   8600K .......... .......... .......... .......... .......... 17%  519M 6s
[2024-03-26T14:46:54.987+0000] {subprocess.py:93} INFO -   8650K .......... .......... .......... .......... .......... 17%  539M 6s
[2024-03-26T14:46:54.990+0000] {subprocess.py:93} INFO -   8700K .......... .......... .......... .......... .......... 17%  452M 6s
[2024-03-26T14:46:54.992+0000] {subprocess.py:93} INFO -   8750K .......... .......... .......... .......... .......... 17%  549M 6s
[2024-03-26T14:46:54.994+0000] {subprocess.py:93} INFO -   8800K .......... .......... .......... .......... .......... 17%  543M 6s
[2024-03-26T14:46:54.995+0000] {subprocess.py:93} INFO -   8850K .......... .......... .......... .......... .......... 17%  539M 6s
[2024-03-26T14:46:54.995+0000] {subprocess.py:93} INFO -   8900K .......... .......... .......... .......... .......... 17%  490M 6s
[2024-03-26T14:46:54.996+0000] {subprocess.py:93} INFO -   8950K .......... .......... .......... .......... .......... 17%  538M 6s
[2024-03-26T14:46:54.996+0000] {subprocess.py:93} INFO -   9000K .......... .......... .......... .......... .......... 18%  548M 6s
[2024-03-26T14:46:54.997+0000] {subprocess.py:93} INFO -   9050K .......... .......... .......... .......... .......... 18%  255M 6s
[2024-03-26T14:46:54.997+0000] {subprocess.py:93} INFO -   9100K .......... .......... .......... .......... .......... 18%  306M 6s
[2024-03-26T14:46:54.998+0000] {subprocess.py:93} INFO -   9150K .......... .......... .......... .......... .......... 18%  442M 6s
[2024-03-26T14:46:54.998+0000] {subprocess.py:93} INFO -   9200K .......... .......... .......... .......... .......... 18%  532M 6s
[2024-03-26T14:46:54.999+0000] {subprocess.py:93} INFO -   9250K .......... .......... .......... .......... .......... 18%  539M 6s
[2024-03-26T14:46:54.999+0000] {subprocess.py:93} INFO -   9300K .......... .......... .......... .......... .......... 18%  473M 6s
[2024-03-26T14:46:55.000+0000] {subprocess.py:93} INFO -   9350K .......... .......... .......... .......... .......... 18%  480M 5s
[2024-03-26T14:46:55.000+0000] {subprocess.py:93} INFO -   9400K .......... .......... .......... .......... .......... 18%  525M 5s
[2024-03-26T14:46:55.001+0000] {subprocess.py:93} INFO -   9450K .......... .......... .......... .......... .......... 18%  519M 5s
[2024-03-26T14:46:55.001+0000] {subprocess.py:93} INFO -   9500K .......... .......... .......... .......... .......... 19% 4.71M 5s
[2024-03-26T14:46:55.002+0000] {subprocess.py:93} INFO -   9550K .......... .......... .......... .......... .......... 19% 48.3M 5s
[2024-03-26T14:46:55.003+0000] {subprocess.py:93} INFO -   9600K .......... .......... .......... .......... .......... 19% 35.4M 5s
[2024-03-26T14:46:55.004+0000] {subprocess.py:93} INFO -   9650K .......... .......... .......... .......... .......... 19% 44.1M 5s
[2024-03-26T14:46:55.007+0000] {subprocess.py:93} INFO -   9700K .......... .......... .......... .......... .......... 19% 18.4M 5s
[2024-03-26T14:46:55.008+0000] {subprocess.py:93} INFO -   9750K .......... .......... .......... .......... .......... 19%  209M 5s
