[2024-03-26T15:33:18.838+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  4%  115M 12s
[2024-03-26T15:33:18.840+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  5% 37.2M 12s
[2024-03-26T15:33:18.841+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  5% 38.5M 12s
[2024-03-26T15:33:18.843+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  5% 25.5M 11s
[2024-03-26T15:33:18.844+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  5%  108M 11s
[2024-03-26T15:33:18.845+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  5% 21.2M 11s
[2024-03-26T15:33:18.847+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  5% 18.4M 11s
[2024-03-26T15:33:18.848+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  5% 27.1M 11s
[2024-03-26T15:33:18.849+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  5% 33.0M 11s
[2024-03-26T15:33:18.850+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... ..........  5% 15.6M 10s
[2024-03-26T15:33:18.851+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... ..........  5% 52.5M 10s
[2024-03-26T15:33:18.852+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  6% 23.4M 10s
[2024-03-26T15:33:18.854+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  6% 16.1M 10s
[2024-03-26T15:33:18.856+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  6% 16.1M 10s
[2024-03-26T15:33:18.858+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  6% 23.0M 10s
[2024-03-26T15:33:18.861+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  6% 90.9M 10s
[2024-03-26T15:33:18.863+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  6% 37.4M 9s
[2024-03-26T15:33:18.864+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... ..........  6% 20.7M 9s
[2024-03-26T15:33:18.866+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... ..........  6% 37.0M 9s
[2024-03-26T15:33:18.868+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  6%  271M 9s
[2024-03-26T15:33:18.869+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  6%  160M 9s
[2024-03-26T15:33:18.870+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  7% 21.2M 9s
[2024-03-26T15:33:18.870+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... ..........  7% 12.1M 9s
[2024-03-26T15:33:18.872+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  7% 27.5M 9s
