[2024-03-29T11:28:58.298+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... .......... 11%  404M 9s
[2024-03-29T11:28:58.308+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... .......... 11%  546M 9s
[2024-03-29T11:28:58.321+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... .......... 11%  311M 9s
[2024-03-29T11:28:58.327+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... .......... 11%  359M 9s
[2024-03-29T11:28:58.401+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... .......... 11%  473M 9s
[2024-03-29T11:28:58.413+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... .......... 11%  371M 9s
[2024-03-29T11:28:58.466+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... .......... 11%  453M 9s
[2024-03-29T11:28:58.472+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... .......... 11%  533M 8s
[2024-03-29T11:28:58.487+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... .......... 12%  388M 8s
[2024-03-29T11:28:58.499+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... .......... 12%  440M 8s
[2024-03-29T11:28:58.507+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... .......... 12%  373M 8s
[2024-03-29T11:28:58.515+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... .......... 12%  551M 8s
[2024-03-29T11:28:58.547+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... .......... 12%  292K 9s
[2024-03-29T11:28:58.548+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... .......... 12% 66.1M 9s
[2024-03-29T11:28:58.562+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... .......... 12%  350M 9s
[2024-03-29T11:28:58.597+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... .......... 13%  210M 9s
[2024-03-29T11:28:58.606+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... .......... 13% 17.9M 9s
[2024-03-29T11:28:58.616+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... .......... 13%  181M 9s
[2024-03-29T11:28:58.652+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 13%  259M 9s
[2024-03-29T11:28:58.668+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... .......... 13%  356M 8s
[2024-03-29T11:28:58.716+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... .......... 13%  362M 8s
[2024-03-29T11:28:58.717+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... .......... 13%  370M 8s
[2024-03-29T11:28:58.719+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... .......... 13%  243M 8s
[2024-03-29T11:28:58.731+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 14%  371M 8s
[2024-03-29T11:28:58.734+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... .......... 14%  388M 8s
[2024-03-29T11:28:58.805+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 14%  405M 8s
[2024-03-29T11:28:58.812+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... .......... 14%  310M 8s
[2024-03-29T11:28:58.823+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 14%  344M 8s
[2024-03-29T11:28:58.832+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 14%  359M 8s
[2024-03-29T11:28:58.850+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... .......... 14%  254M 8s
[2024-03-29T11:28:58.864+0000] {subprocess.py:93} INFO -   5700K .......... .......... .......... .......... .......... 14%  314M 8s
[2024-03-29T11:28:58.871+0000] {subprocess.py:93} INFO -   5750K .......... .......... .......... .......... .......... 15%  395M 7s
[2024-03-29T11:28:58.947+0000] {subprocess.py:93} INFO -   5800K .......... .......... .......... .......... .......... 15%  310M 7s
[2024-03-29T11:28:58.972+0000] {subprocess.py:93} INFO -   5850K .......... .......... .......... .......... .......... 15%  394M 7s
[2024-03-29T11:28:58.976+0000] {subprocess.py:93} INFO -   5900K .......... .......... .......... .......... .......... 15%  322M 7s
[2024-03-29T11:28:58.983+0000] {subprocess.py:93} INFO -   5950K .......... .......... .......... .......... .......... 15%  406M 7s
[2024-03-29T11:28:59.007+0000] {subprocess.py:93} INFO -   6000K .......... .......... .......... .......... .......... 15%  218M 7s
[2024-03-29T11:28:59.044+0000] {subprocess.py:93} INFO -   6050K .......... .......... .......... .......... .......... 15%  265M 7s
[2024-03-29T11:28:59.046+0000] {subprocess.py:93} INFO -   6100K .......... .......... .......... .......... .......... 16%  292M 7s
[2024-03-29T11:28:59.060+0000] {subprocess.py:93} INFO -   6150K .......... .......... .......... .......... .......... 16%  393M 7s
[2024-03-29T11:28:59.061+0000] {subprocess.py:93} INFO -   6200K .......... .......... .......... .......... .......... 16%  342M 7s
[2024-03-29T11:28:59.062+0000] {subprocess.py:93} INFO -   6250K .......... .......... .......... .......... .......... 16%  277M 7s
[2024-03-29T11:28:59.123+0000] {subprocess.py:93} INFO -   6300K .......... .......... .......... .......... .......... 16%  291M 7s
[2024-03-29T11:28:59.127+0000] {subprocess.py:93} INFO -   6350K .......... .......... .......... .......... .......... 16%  314M 7s
