[2024-03-29T11:42:27.366+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 13% 2.66M 11s
[2024-03-29T11:42:27.381+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... .......... 13%  454M 11s
[2024-03-29T11:42:27.397+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... .......... 13%  550M 11s
[2024-03-29T11:42:27.441+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... .......... 13%  604M 11s
[2024-03-29T11:42:27.487+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... .......... 13%  543M 11s
[2024-03-29T11:42:27.493+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 14%  555M 11s
[2024-03-29T11:42:27.500+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... .......... 14%  581M 10s
[2024-03-29T11:42:27.517+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 14%  531M 10s
[2024-03-29T11:42:27.531+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... .......... 14%  618M 10s
[2024-03-29T11:42:27.558+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 14% 11.2M 10s
[2024-03-29T11:42:27.578+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 14% 4.02M 10s
[2024-03-29T11:42:27.584+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... .......... 14% 3.57M 10s
[2024-03-29T11:42:27.594+0000] {subprocess.py:93} INFO -   5700K .......... .......... .......... .......... .......... 14% 2.55M 10s
[2024-03-29T11:42:27.632+0000] {subprocess.py:93} INFO -   5750K .......... .......... .......... .......... .......... 15% 1.32M 10s
[2024-03-29T11:42:27.676+0000] {subprocess.py:93} INFO -   5800K .......... .......... .......... .......... .......... 15% 27.9M 10s
[2024-03-29T11:42:27.768+0000] {subprocess.py:93} INFO -   5850K .......... .......... .......... .......... .......... 15% 1.77M 10s
[2024-03-29T11:42:27.780+0000] {subprocess.py:93} INFO -   5900K .......... .......... .......... .......... .......... 15% 4.03M 10s
[2024-03-29T11:42:27.799+0000] {subprocess.py:93} INFO -   5950K .......... .......... .......... .......... .......... 15%  353M 10s
[2024-03-29T11:42:27.819+0000] {subprocess.py:93} INFO -   6000K .......... .......... .......... .......... .......... 15% 3.80M 10s
[2024-03-29T11:42:27.837+0000] {subprocess.py:93} INFO -   6050K .......... .......... .......... .......... .......... 15%  386M 10s
[2024-03-29T11:42:27.875+0000] {subprocess.py:93} INFO -   6100K .......... .......... .......... .......... .......... 16% 3.81M 10s
[2024-03-29T11:42:27.892+0000] {subprocess.py:93} INFO -   6150K .......... .......... .......... .......... .......... 16% 1.91M 10s
[2024-03-29T11:42:27.934+0000] {subprocess.py:93} INFO -   6200K .......... .......... .......... .......... .......... 16% 19.4M 10s
[2024-03-29T11:42:27.954+0000] {subprocess.py:93} INFO -   6250K .......... .......... .......... .......... .......... 16% 5.50M 10s
[2024-03-29T11:42:28.001+0000] {subprocess.py:93} INFO -   6300K .......... .......... .......... .......... .......... 16%  654K 10s
[2024-03-29T11:42:28.004+0000] {subprocess.py:93} INFO -   6350K .......... .......... .......... .......... .......... 16%  554M 10s
[2024-03-29T11:42:28.006+0000] {subprocess.py:93} INFO -   6400K .......... .......... .......... .......... .......... 16%  397M 10s
[2024-03-29T11:42:28.009+0000] {subprocess.py:93} INFO -   6450K .......... .......... .......... .......... .......... 16%  394M 10s
[2024-03-29T11:42:28.023+0000] {subprocess.py:93} INFO -   6500K .......... .......... .......... .......... .......... 17%  479M 10s
[2024-03-29T11:42:28.058+0000] {subprocess.py:93} INFO -   6550K .......... .......... .......... .......... .......... 17%  669K 10s
[2024-03-29T11:42:28.091+0000] {subprocess.py:93} INFO -   6600K .......... .......... .......... .......... .......... 17%  416M 10s
[2024-03-29T11:42:28.105+0000] {subprocess.py:93} INFO -   6650K .......... .......... .......... .......... .......... 17% 6.32M 10s
[2024-03-29T11:42:28.124+0000] {subprocess.py:93} INFO -   6700K .......... .......... .......... .......... .......... 17%  502M 10s
[2024-03-29T11:42:28.181+0000] {subprocess.py:93} INFO -   6750K .......... .......... .......... .......... .......... 17%  361M 10s
[2024-03-29T11:42:28.217+0000] {subprocess.py:93} INFO -   6800K .......... .......... .......... .......... .......... 17%  446M 10s
