[2024-03-29T11:42:25.592+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  8%  432M 13s
[2024-03-29T11:42:25.690+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  8%  433M 12s
[2024-03-29T11:42:25.756+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  8%  433M 12s
[2024-03-29T11:42:25.876+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  8%  347M 12s
[2024-03-29T11:42:25.895+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  8%  297M 12s
[2024-03-29T11:42:25.917+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... ..........  8%  416M 12s
[2024-03-29T11:42:26.041+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... ..........  8%  428M 11s
[2024-03-29T11:42:26.092+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  8%  423K 12s
[2024-03-29T11:42:26.169+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  9%  256M 12s
[2024-03-29T11:42:26.262+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  9%  313M 12s
[2024-03-29T11:42:26.334+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... ..........  9%  423M 12s
[2024-03-29T11:42:26.393+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  9%  378M 12s
[2024-03-29T11:42:26.487+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  9%  445M 12s
[2024-03-29T11:42:26.600+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  9%  459M 11s
[2024-03-29T11:42:26.624+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  9%  179M 11s
[2024-03-29T11:42:26.628+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... .......... 10%  400M 11s
[2024-03-29T11:42:26.631+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... .......... 10% 18.2M 11s
[2024-03-29T11:42:26.638+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... .......... 10%  355M 11s
[2024-03-29T11:42:26.640+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... .......... 10%  492K 11s
[2024-03-29T11:42:26.696+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... .......... 10% 2.20M 12s
[2024-03-29T11:42:26.807+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... .......... 10% 1.18M 12s
[2024-03-29T11:42:26.848+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... .......... 10%  188M 12s
[2024-03-29T11:42:26.929+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... .......... 10%  300M 11s
[2024-03-29T11:42:27.041+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... .......... 11% 4.34M 11s
[2024-03-29T11:42:27.114+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... .......... 11% 3.16M 11s
[2024-03-29T11:42:27.153+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... .......... 11% 2.12M 11s
[2024-03-29T11:42:27.224+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... .......... 11%  251M 11s
[2024-03-29T11:42:27.241+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... .......... 11%  781K 12s
[2024-03-29T11:42:27.257+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... .......... 11%  376M 11s
[2024-03-29T11:42:27.324+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... .......... 11%  447M 11s
[2024-03-29T11:42:27.403+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... .......... 11%  494M 11s
[2024-03-29T11:42:27.442+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... .......... 12%  514M 11s
[2024-03-29T11:42:27.505+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... .......... 12% 1.77M 11s
[2024-03-29T11:42:27.576+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... .......... 12%  203M 11s
[2024-03-29T11:42:27.582+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... .......... 12%  330M 11s
[2024-03-29T11:42:27.627+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... .......... 12% 1.69M 11s
[2024-03-29T11:42:27.686+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... .......... 12%  174M 11s
[2024-03-29T11:42:27.746+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... .......... 12%  242M 11s
[2024-03-29T11:42:27.795+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... .......... 13%  153M 11s
[2024-03-29T11:42:27.820+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... .......... 13%  762K 11s
[2024-03-29T11:42:27.837+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... .......... 13% 16.3M 11s
[2024-03-29T11:42:27.877+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 13% 1.82M 11s
[2024-03-29T11:42:27.957+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... .......... 13% 52.6M 11s
[2024-03-29T11:42:27.996+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... .......... 13%  546K 11s
[2024-03-29T11:42:28.002+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... .......... 13%  263M 11s
[2024-03-29T11:42:28.005+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... .......... 13%  321M 11s
[2024-03-29T11:42:28.008+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 14%  389M 11s
[2024-03-29T11:42:28.011+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... .......... 14%  355M 11s
[2024-03-29T11:42:28.027+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 14% 2.88M 11s
[2024-03-29T11:42:28.061+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... .......... 14% 2.65M 11s
[2024-03-29T11:42:28.099+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 14%  530M 11s
[2024-03-29T11:42:28.107+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 14%  381M 10s
[2024-03-29T11:42:28.124+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... .......... 14%  502M 10s
[2024-03-29T11:42:28.182+0000] {subprocess.py:93} INFO -   5700K .......... .......... .......... .......... .......... 14%  490M 10s
[2024-03-29T11:42:28.225+0000] {subprocess.py:93} INFO -   5750K .......... .......... .......... .......... .......... 15%  478M 10s
[2024-03-29T11:42:28.271+0000] {subprocess.py:93} INFO -   5800K .......... .......... .......... .......... .......... 15%  554M 10s
[2024-03-29T11:42:28.311+0000] {subprocess.py:93} INFO -   5850K .......... .......... .......... .......... .......... 15%  546M 10s
[2024-03-29T11:42:28.324+0000] {subprocess.py:93} INFO -   5900K .......... .......... .......... .......... .......... 15%  452M 10s
[2024-03-29T11:42:28.438+0000] {subprocess.py:93} INFO -   5950K .......... .......... .......... .......... .......... 15%  540M 10s
[2024-03-29T11:42:28.450+0000] {subprocess.py:93} INFO -   6000K .......... .......... .......... .......... .......... 15%  815K 10s
[2024-03-29T11:42:28.456+0000] {subprocess.py:93} INFO -   6050K .......... .......... .......... .......... .......... 15%  231M 10s
[2024-03-29T11:42:28.472+0000] {subprocess.py:93} INFO -   6100K .......... .......... .......... .......... .......... 16%  290M 10s
[2024-03-29T11:42:28.496+0000] {subprocess.py:93} INFO -   6150K .......... .......... .......... .......... .......... 16%  330M 10s
[2024-03-29T11:42:28.515+0000] {subprocess.py:93} INFO -   6200K .......... .......... .......... .......... .......... 16%  611K 10s
