[2024-04-02T13:54:15.695+0000] {subprocess.py:93} INFO -   2050K .......... .......... .......... .......... ..........  5% 13.6M 14s
[2024-04-02T13:54:15.701+0000] {subprocess.py:93} INFO -   2100K .......... .......... .......... .......... ..........  5% 8.50M 13s
[2024-04-02T13:54:15.703+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  5% 35.1M 13s
[2024-04-02T13:54:15.705+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  5% 16.5M 13s
[2024-04-02T13:54:15.707+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  5% 30.3M 13s
[2024-04-02T13:54:15.709+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  6% 20.2M 12s
[2024-04-02T13:54:15.713+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  6% 11.7M 12s
[2024-04-02T13:54:15.716+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  6% 20.7M 12s
[2024-04-02T13:54:15.720+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  6% 12.4M 12s
[2024-04-02T13:54:15.722+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  6% 31.3M 11s
[2024-04-02T13:54:15.723+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  6% 23.5M 11s
[2024-04-02T13:54:15.727+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  6% 12.4M 11s
[2024-04-02T13:54:15.730+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  7% 27.5M 11s
[2024-04-02T13:54:15.731+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  7% 31.4M 11s
[2024-04-02T13:54:15.735+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  7% 12.4M 11s
[2024-04-02T13:54:15.744+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  7% 6.60M 10s
[2024-04-02T13:54:15.745+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  7%  236M 10s
[2024-04-02T13:54:15.745+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... ..........  7%  559M 10s
[2024-04-02T13:54:15.746+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... ..........  7% 28.3M 10s
[2024-04-02T13:54:15.747+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  7% 17.6M 10s
[2024-04-02T13:54:15.749+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  8% 18.2M 10s
[2024-04-02T13:54:15.754+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  8% 13.3M 10s
[2024-04-02T13:54:15.756+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  8% 62.3M 9s
[2024-04-02T13:54:15.756+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  8% 28.2M 9s
[2024-04-02T13:54:15.758+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  8% 18.9M 9s
[2024-04-02T13:54:15.760+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... ..........  8% 34.0M 9s
[2024-04-02T13:54:15.762+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... ..........  8% 24.2M 9s
[2024-04-02T13:54:15.764+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  8% 21.9M 9s
