[2024-03-29T11:42:25.361+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  5% 3.21M 18s
[2024-03-29T11:42:25.375+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  5%  358M 18s
[2024-03-29T11:42:25.388+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  5% 57.4M 17s
[2024-03-29T11:42:25.389+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  6% 6.81M 17s
[2024-03-29T11:42:25.392+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  6% 10.9M 17s
[2024-03-29T11:42:25.396+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  6% 3.77M 17s
[2024-03-29T11:42:25.398+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  6% 7.75M 16s
[2024-03-29T11:42:25.481+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  6% 7.35M 16s
[2024-03-29T11:42:25.552+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  6% 1.88M 16s
[2024-03-29T11:42:25.555+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  6%  443M 16s
[2024-03-29T11:42:25.558+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  7% 14.8M 16s
[2024-03-29T11:42:25.569+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  7% 6.70M 15s
[2024-03-29T11:42:25.602+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  7% 7.72M 15s
[2024-03-29T11:42:25.699+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  7% 3.61M 15s
[2024-03-29T11:42:25.756+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  7% 3.18M 15s
[2024-03-29T11:42:25.875+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... ..........  7% 3.16M 15s
[2024-03-29T11:42:25.892+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... ..........  7% 2.19M 15s
[2024-03-29T11:42:25.916+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  7% 2.28M 15s
[2024-03-29T11:42:26.002+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  8%  494M 15s
[2024-03-29T11:42:26.093+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  8% 1.06M 15s
[2024-03-29T11:42:26.161+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  8% 36.6M 15s
[2024-03-29T11:42:26.213+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  8% 2.69M 15s
[2024-03-29T11:42:26.276+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  8% 18.0M 14s
