[2024-03-28T10:04:40.155+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  5% 22.4M 13s
[2024-03-28T10:04:40.155+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  5% 29.9M 13s
[2024-03-28T10:04:40.155+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... ..........  5% 32.3M 13s
[2024-03-28T10:04:40.156+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... ..........  5% 12.9M 13s
[2024-03-28T10:04:40.156+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  6% 19.6M 13s
[2024-03-28T10:04:40.157+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  6%  413M 12s
[2024-03-28T10:04:40.158+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  6% 22.6M 12s
[2024-03-28T10:04:40.168+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  6% 11.8M 12s
[2024-03-28T10:04:40.173+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  6% 29.1M 12s
[2024-03-28T10:04:40.174+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  6%  546M 12s
[2024-03-28T10:04:40.177+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... ..........  6% 8.10M 12s
[2024-03-28T10:04:40.179+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... ..........  6% 40.8M 11s
[2024-03-28T10:04:40.200+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  6% 1.25M 12s
[2024-03-28T10:04:40.204+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  6% 26.4M 12s
[2024-03-28T10:04:40.208+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  7%  557M 11s
[2024-03-28T10:04:40.208+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... ..........  7%  603M 11s
[2024-03-28T10:04:40.209+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  7%  512M 11s
[2024-03-28T10:04:40.210+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  7%  637M 11s
[2024-03-28T10:04:40.226+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  7%  568M 11s
[2024-03-28T10:04:40.254+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  7%  345M 11s
[2024-03-28T10:04:40.275+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... ..........  7%  493M 10s
[2024-03-28T10:04:40.294+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... ..........  7%  629M 10s
[2024-03-28T10:04:40.305+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... ..........  7%  642M 10s
[2024-03-28T10:04:40.341+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... ..........  7%  635M 10s
[2024-03-28T10:04:40.387+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... ..........  8%  482M 10s
[2024-03-28T10:04:40.428+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... ..........  8%  633M 10s
[2024-03-28T10:04:40.461+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... ..........  8%  538M 10s
[2024-03-28T10:04:40.511+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... ..........  8%  554M 10s
[2024-03-28T10:04:40.531+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... ..........  8%  507M 9s
[2024-03-28T10:04:40.548+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... ..........  8%  553M 9s
[2024-03-28T10:04:40.565+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... ..........  8%  340M 9s
[2024-03-28T10:04:40.577+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... ..........  8%  528M 9s
[2024-03-28T10:04:40.597+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... ..........  8%  555M 9s
[2024-03-28T10:04:40.614+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... ..........  8%  550M 9s
[2024-03-28T10:04:40.638+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... ..........  9%  459M 9s
[2024-03-28T10:04:40.656+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... ..........  9% 1.22M 9s
[2024-03-28T10:04:40.659+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... ..........  9% 6.03M 9s
[2024-03-28T10:04:40.670+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... ..........  9% 12.0M 9s
[2024-03-28T10:04:40.677+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... ..........  9% 4.19M 9s
[2024-03-28T10:04:40.681+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... ..........  9% 6.00M 9s
[2024-03-28T10:04:40.685+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... ..........  9%  334M 9s
[2024-03-28T10:04:40.698+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... ..........  9%  386M 9s
[2024-03-28T10:04:40.709+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... ..........  9% 4.49M 9s
[2024-03-28T10:04:40.723+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... ..........  9% 3.45M 9s
[2024-03-28T10:04:40.736+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... .......... 10% 9.13M 9s
[2024-03-28T10:04:40.741+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... .......... 10% 6.80M 9s
[2024-03-28T10:04:40.755+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 10% 3.83M 9s
[2024-03-28T10:04:40.766+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... .......... 10% 13.9M 9s
[2024-03-28T10:04:40.773+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... .......... 10% 11.3M 9s
[2024-03-28T10:04:40.786+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... .......... 10%  116M 8s
[2024-03-28T10:04:40.802+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... .......... 10%  299M 8s
[2024-03-28T10:04:40.810+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 10%  167M 8s
[2024-03-28T10:04:40.816+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... .......... 10%  345M 8s
[2024-03-28T10:04:40.834+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 10%  180M 8s
[2024-03-28T10:04:40.849+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... .......... 11%  386M 8s
[2024-03-28T10:04:40.869+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 11% 4.07M 8s
[2024-03-28T10:04:40.871+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 11% 1.55M 8s
[2024-03-28T10:04:40.885+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... .......... 11% 8.29M 8s
[2024-03-28T10:04:40.890+0000] {subprocess.py:93} INFO -   5700K .......... .......... .......... .......... .......... 11% 2.86M 8s
[2024-03-28T10:04:40.901+0000] {subprocess.py:93} INFO -   5750K .......... .......... .......... .......... .......... 11% 2.13M 8s
[2024-03-28T10:04:40.902+0000] {subprocess.py:93} INFO -   5800K .......... .......... .......... .......... .......... 11% 1.81M 8s
[2024-03-28T10:04:40.903+0000] {subprocess.py:93} INFO -   5850K .......... .......... .......... .......... .......... 11%  200M 8s
[2024-03-28T10:04:40.916+0000] {subprocess.py:93} INFO -   5900K .......... .......... .......... .......... .......... 11%  273M 8s
[2024-03-28T10:04:40.917+0000] {subprocess.py:93} INFO -   5950K .......... .......... .......... .......... .......... 11%  378M 8s
