[2024-03-29T11:42:25.021+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  6% 3.36M 17s
[2024-03-29T11:42:25.024+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  6%  515M 16s
[2024-03-29T11:42:25.085+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  6% 1.85M 16s
[2024-03-29T11:42:25.137+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  7%  332M 16s
[2024-03-29T11:42:25.237+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  7% 2.45M 16s
[2024-03-29T11:42:25.240+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  7%  375M 16s
[2024-03-29T11:42:25.259+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  7% 1.40M 16s
[2024-03-29T11:42:25.296+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  7%  125M 15s
[2024-03-29T11:42:25.319+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... ..........  7% 2.47M 15s
[2024-03-29T11:42:25.331+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... ..........  7% 6.06M 15s
[2024-03-29T11:42:25.345+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  7% 3.05M 15s
[2024-03-29T11:42:25.362+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  8% 3.75M 15s
[2024-03-29T11:42:25.374+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  8% 1.80M 15s
[2024-03-29T11:42:25.378+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  8% 12.9M 15s
[2024-03-29T11:42:25.382+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  8% 3.67M 15s
[2024-03-29T11:42:25.387+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  8% 2.44M 15s
[2024-03-29T11:42:25.391+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... ..........  8% 2.83M 15s
[2024-03-29T11:42:25.394+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... ..........  8% 3.86M 15s
[2024-03-29T11:42:25.397+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  8% 6.64M 14s
[2024-03-29T11:42:25.399+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  9% 2.08M 14s
[2024-03-29T11:42:25.485+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  9%  506M 14s
[2024-03-29T11:42:25.527+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... ..........  9%  968K 14s
[2024-03-29T11:42:25.541+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  9% 7.23M 14s
[2024-03-29T11:42:25.545+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  9% 2.91M 14s
[2024-03-29T11:42:25.555+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  9%  321M 14s
[2024-03-29T11:42:25.559+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  9% 5.70M 14s
[2024-03-29T11:42:25.567+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... .......... 10%  504M 14s
[2024-03-29T11:42:25.598+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... .......... 10% 1.97M 14s
