[2024-03-26T08:25:16.464+0000] {subprocess.py:93} INFO -   2150K .......... .......... .......... .......... ..........  4% 7.71M 17s
[2024-03-26T08:25:16.467+0000] {subprocess.py:93} INFO -   2200K .......... .......... .......... .......... ..........  4% 86.5M 17s
[2024-03-26T08:25:16.468+0000] {subprocess.py:93} INFO -   2250K .......... .......... .......... .......... ..........  4% 28.7M 16s
[2024-03-26T08:25:16.488+0000] {subprocess.py:93} INFO -   2300K .......... .......... .......... .......... ..........  4%  211M 16s
[2024-03-26T08:25:16.490+0000] {subprocess.py:93} INFO -   2350K .......... .......... .......... .......... ..........  4% 34.2M 16s
[2024-03-26T08:25:16.492+0000] {subprocess.py:93} INFO -   2400K .......... .......... .......... .......... ..........  4% 6.01M 15s
[2024-03-26T08:25:16.493+0000] {subprocess.py:93} INFO -   2450K .......... .......... .......... .......... ..........  4% 42.8M 15s
[2024-03-26T08:25:16.496+0000] {subprocess.py:93} INFO -   2500K .......... .......... .......... .......... ..........  5% 3.99M 15s
[2024-03-26T08:25:16.499+0000] {subprocess.py:93} INFO -   2550K .......... .......... .......... .......... ..........  5%  287M 15s
[2024-03-26T08:25:16.505+0000] {subprocess.py:93} INFO -   2600K .......... .......... .......... .......... ..........  5%  397M 14s
[2024-03-26T08:25:16.508+0000] {subprocess.py:93} INFO -   2650K .......... .......... .......... .......... ..........  5%  432M 14s
[2024-03-26T08:25:16.523+0000] {subprocess.py:93} INFO -   2700K .......... .......... .......... .......... ..........  5% 11.2M 14s
[2024-03-26T08:25:16.526+0000] {subprocess.py:93} INFO -   2750K .......... .......... .......... .......... ..........  5% 11.8M 14s
[2024-03-26T08:25:16.531+0000] {subprocess.py:93} INFO -   2800K .......... .......... .......... .......... ..........  5%  303M 14s
[2024-03-26T08:25:16.532+0000] {subprocess.py:93} INFO -   2850K .......... .......... .......... .......... ..........  5% 19.8M 13s
[2024-03-26T08:25:16.532+0000] {subprocess.py:93} INFO -   2900K .......... .......... .......... .......... ..........  5% 22.2M 13s
[2024-03-26T08:25:16.533+0000] {subprocess.py:93} INFO -   2950K .......... .......... .......... .......... ..........  5%  133M 13s
[2024-03-26T08:25:16.536+0000] {subprocess.py:93} INFO -   3000K .......... .......... .......... .......... ..........  6% 29.9M 13s
[2024-03-26T08:25:16.538+0000] {subprocess.py:93} INFO -   3050K .......... .......... .......... .......... ..........  6% 37.4M 12s
[2024-03-26T08:25:16.558+0000] {subprocess.py:93} INFO -   3100K .......... .......... .......... .......... ..........  6%  409M 12s
[2024-03-26T08:25:16.560+0000] {subprocess.py:93} INFO -   3150K .......... .......... .......... .......... ..........  6% 36.8M 12s
[2024-03-26T08:25:16.561+0000] {subprocess.py:93} INFO -   3200K .......... .......... .......... .......... ..........  6% 3.28M 12s
[2024-03-26T08:25:16.561+0000] {subprocess.py:93} INFO -   3250K .......... .......... .......... .......... ..........  6% 82.8M 12s
[2024-03-26T08:25:16.562+0000] {subprocess.py:93} INFO -   3300K .......... .......... .......... .......... ..........  6%  373M 12s
[2024-03-26T08:25:16.562+0000] {subprocess.py:93} INFO -   3350K .......... .......... .......... .......... ..........  6%  321M 12s
[2024-03-26T08:25:16.563+0000] {subprocess.py:93} INFO -   3400K .......... .......... .......... .......... ..........  6%  219M 11s
[2024-03-26T08:25:16.564+0000] {subprocess.py:93} INFO -   3450K .......... .......... .......... .......... ..........  6%  422M 11s
[2024-03-26T08:25:16.564+0000] {subprocess.py:93} INFO -   3500K .......... .......... .......... .......... ..........  7%  172M 11s
[2024-03-26T08:25:16.565+0000] {subprocess.py:93} INFO -   3550K .......... .......... .......... .......... ..........  7% 5.64M 11s
[2024-03-26T08:25:16.565+0000] {subprocess.py:93} INFO -   3600K .......... .......... .......... .......... ..........  7%  209M 11s
[2024-03-26T08:25:16.565+0000] {subprocess.py:93} INFO -   3650K .......... .......... .......... .......... ..........  7% 13.5M 11s
[2024-03-26T08:25:16.567+0000] {subprocess.py:93} INFO -   3700K .......... .......... .......... .......... ..........  7% 7.61M 11s
[2024-03-26T08:25:16.568+0000] {subprocess.py:93} INFO -   3750K .......... .......... .......... .......... ..........  7%  103M 10s
[2024-03-26T08:25:16.570+0000] {subprocess.py:93} INFO -   3800K .......... .......... .......... .......... ..........  7%  270M 10s
[2024-03-26T08:25:16.575+0000] {subprocess.py:93} INFO -   3850K .......... .......... .......... .......... ..........  7% 97.9M 10s
[2024-03-26T08:25:16.605+0000] {subprocess.py:93} INFO -   3900K .......... .......... .......... .......... ..........  7%  131M 10s
[2024-03-26T08:25:16.609+0000] {subprocess.py:93} INFO -   3950K .......... .......... .......... .......... ..........  7% 21.0M 10s
[2024-03-26T08:25:16.616+0000] {subprocess.py:93} INFO -   4000K .......... .......... .......... .......... ..........  8% 17.7M 10s
[2024-03-26T08:25:16.618+0000] {subprocess.py:93} INFO -   4050K .......... .......... .......... .......... ..........  8%  263M 10s
[2024-03-26T08:25:16.627+0000] {subprocess.py:93} INFO -   4100K .......... .......... .......... .......... ..........  8% 56.9M 10s
[2024-03-26T08:25:16.628+0000] {subprocess.py:93} INFO -   4150K .......... .......... .......... .......... ..........  8% 15.7M 10s
[2024-03-26T08:25:16.632+0000] {subprocess.py:93} INFO -   4200K .......... .......... .......... .......... ..........  8% 41.9M 9s
[2024-03-26T08:25:16.635+0000] {subprocess.py:93} INFO -   4250K .......... .......... .......... .......... ..........  8% 3.19M 9s
[2024-03-26T08:25:16.636+0000] {subprocess.py:93} INFO -   4300K .......... .......... .......... .......... ..........  8% 24.7M 9s
[2024-03-26T08:25:16.646+0000] {subprocess.py:93} INFO -   4350K .......... .......... .......... .......... ..........  8%  246M 9s
[2024-03-26T08:25:16.647+0000] {subprocess.py:93} INFO -   4400K .......... .......... .......... .......... ..........  8%  387M 9s
[2024-03-26T08:25:16.648+0000] {subprocess.py:93} INFO -   4450K .......... .......... .......... .......... ..........  8% 16.6M 9s
[2024-03-26T08:25:16.649+0000] {subprocess.py:93} INFO -   4500K .......... .......... .......... .......... ..........  9%  277M 9s
[2024-03-26T08:25:16.649+0000] {subprocess.py:93} INFO -   4550K .......... .......... .......... .......... ..........  9%  286M 9s
[2024-03-26T08:25:16.651+0000] {subprocess.py:93} INFO -   4600K .......... .......... .......... .......... ..........  9% 6.96M 9s
[2024-03-26T08:25:16.652+0000] {subprocess.py:93} INFO -   4650K .......... .......... .......... .......... ..........  9% 3.96M 9s
[2024-03-26T08:25:16.653+0000] {subprocess.py:93} INFO -   4700K .......... .......... .......... .......... ..........  9%  176M 9s
[2024-03-26T08:25:16.654+0000] {subprocess.py:93} INFO -   4750K .......... .......... .......... .......... ..........  9%  359M 9s
[2024-03-26T08:25:16.671+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... ..........  9%  231M 9s
[2024-03-26T08:25:16.672+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... ..........  9%  356M 8s
[2024-03-26T08:25:16.683+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... ..........  9%  325M 8s
[2024-03-26T08:25:16.684+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... ..........  9%  342M 8s
[2024-03-26T08:25:16.688+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... .......... 10%  363M 8s
[2024-03-26T08:25:16.689+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... .......... 10%  516M 8s
[2024-03-26T08:25:16.692+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 10%  418M 8s
[2024-03-26T08:25:16.694+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... .......... 10% 4.15M 8s
[2024-03-26T08:25:16.697+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... .......... 10% 87.5M 8s
[2024-03-26T08:25:16.703+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... .......... 10% 84.8M 8s
[2024-03-26T08:25:16.710+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... .......... 10% 38.0M 8s
[2024-03-26T08:25:16.711+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 10% 40.8M 8s
[2024-03-26T08:25:16.712+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... .......... 10% 76.6M 8s
[2024-03-26T08:25:16.712+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 10%  330M 8s
[2024-03-26T08:25:16.713+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... .......... 11% 8.16M 8s
[2024-03-26T08:25:16.714+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 11%  163M 7s
[2024-03-26T08:25:16.714+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 11%  134M 7s
[2024-03-26T08:25:16.716+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... .......... 11%  274M 7s
[2024-03-26T08:25:16.717+0000] {subprocess.py:93} INFO -   5700K .......... .......... .......... .......... .......... 11%  207M 7s
[2024-03-26T08:25:16.719+0000] {subprocess.py:93} INFO -   5750K .......... .......... .......... .......... .......... 11% 9.81M 7s
[2024-03-26T08:25:16.720+0000] {subprocess.py:93} INFO -   5800K .......... .......... .......... .......... .......... 11%  281M 7s
[2024-03-26T08:25:16.720+0000] {subprocess.py:93} INFO -   5850K .......... .......... .......... .......... .......... 11% 20.7M 7s
[2024-03-26T08:25:16.728+0000] {subprocess.py:93} INFO -   5900K .......... .......... .......... .......... .......... 11%  245M 7s
[2024-03-26T08:25:16.730+0000] {subprocess.py:93} INFO -   5950K .......... .......... .......... .......... .......... 11%  331M 7s
[2024-03-26T08:25:16.733+0000] {subprocess.py:93} INFO -   6000K .......... .......... .......... .......... .......... 12% 11.2M 7s
[2024-03-26T08:25:16.734+0000] {subprocess.py:93} INFO -   6050K .......... .......... .......... .......... .......... 12% 46.4M 7s
[2024-03-26T08:25:16.751+0000] {subprocess.py:93} INFO -   6100K .......... .......... .......... .......... .......... 12% 30.3M 7s
[2024-03-26T08:25:16.751+0000] {subprocess.py:93} INFO -   6150K .......... .......... .......... .......... .......... 12% 47.8M 7s
[2024-03-26T08:25:16.752+0000] {subprocess.py:93} INFO -   6200K .......... .......... .......... .......... .......... 12% 54.1M 7s
[2024-03-26T08:25:16.753+0000] {subprocess.py:93} INFO -   6250K .......... .......... .......... .......... .......... 12%  364M 7s
[2024-03-26T08:25:16.753+0000] {subprocess.py:93} INFO -   6300K .......... .......... .......... .......... .......... 12% 38.4M 7s
[2024-03-26T08:25:16.754+0000] {subprocess.py:93} INFO -   6350K .......... .......... .......... .......... .......... 12% 9.87M 7s
[2024-03-26T08:25:16.762+0000] {subprocess.py:93} INFO -   6400K .......... .......... .......... .......... .......... 12% 62.8M 7s
[2024-03-26T08:25:16.772+0000] {subprocess.py:93} INFO -   6450K .......... .......... .......... .......... .......... 12% 70.2M 6s
[2024-03-26T08:25:16.787+0000] {subprocess.py:93} INFO -   6500K .......... .......... .......... .......... .......... 13% 9.21M 6s
[2024-03-26T08:25:16.799+0000] {subprocess.py:93} INFO -   6550K .......... .......... .......... .......... .......... 13% 53.2M 6s
[2024-03-26T08:25:16.845+0000] {subprocess.py:93} INFO -   6600K .......... .......... .......... .......... .......... 13% 28.6M 6s
