[2024-03-28T16:45:24.858+0000] {subprocess.py:93} INFO -   4800K .......... .......... .......... .......... .......... 12% 51.8M 6s
[2024-03-28T16:45:24.860+0000] {subprocess.py:93} INFO -   4850K .......... .......... .......... .......... .......... 12% 3.77M 6s
[2024-03-28T16:45:24.872+0000] {subprocess.py:93} INFO -   4900K .......... .......... .......... .......... .......... 12% 20.0M 6s
[2024-03-28T16:45:24.877+0000] {subprocess.py:93} INFO -   4950K .......... .......... .......... .......... .......... 13% 9.19M 6s
[2024-03-28T16:45:24.896+0000] {subprocess.py:93} INFO -   5000K .......... .......... .......... .......... .......... 13% 2.91M 6s
[2024-03-28T16:45:24.899+0000] {subprocess.py:93} INFO -   5050K .......... .......... .......... .......... .......... 13% 12.7M 6s
[2024-03-28T16:45:24.902+0000] {subprocess.py:93} INFO -   5100K .......... .......... .......... .......... .......... 13% 38.3M 6s
[2024-03-28T16:45:24.903+0000] {subprocess.py:93} INFO -   5150K .......... .......... .......... .......... .......... 13% 44.6M 6s
[2024-03-28T16:45:24.903+0000] {subprocess.py:93} INFO -   5200K .......... .......... .......... .......... .......... 13% 37.3M 6s
[2024-03-28T16:45:24.904+0000] {subprocess.py:93} INFO -   5250K .......... .......... .......... .......... .......... 13% 19.2M 6s
[2024-03-28T16:45:24.906+0000] {subprocess.py:93} INFO -   5300K .......... .......... .......... .......... .......... 13% 5.39M 6s
[2024-03-28T16:45:24.917+0000] {subprocess.py:93} INFO -   5350K .......... .......... .......... .......... .......... 14% 14.2M 6s
[2024-03-28T16:45:24.919+0000] {subprocess.py:93} INFO -   5400K .......... .......... .......... .......... .......... 14% 14.1M 6s
[2024-03-28T16:45:24.920+0000] {subprocess.py:93} INFO -   5450K .......... .......... .......... .......... .......... 14%  258M 6s
[2024-03-28T16:45:24.921+0000] {subprocess.py:93} INFO -   5500K .......... .......... .......... .......... .......... 14%  349M 6s
[2024-03-28T16:45:24.923+0000] {subprocess.py:93} INFO -   5550K .......... .......... .......... .......... .......... 14%  397M 6s
[2024-03-28T16:45:24.924+0000] {subprocess.py:93} INFO -   5600K .......... .......... .......... .......... .......... 14% 1.92M 6s
[2024-03-28T16:45:24.925+0000] {subprocess.py:93} INFO -   5650K .......... .......... .......... .......... .......... 14% 3.37M 6s
[2024-03-28T16:45:24.937+0000] {subprocess.py:93} INFO -   5700K .......... .......... .......... .......... .......... 14% 1.87M 6s
[2024-03-28T16:45:24.941+0000] {subprocess.py:93} INFO -   5750K .......... .......... .......... .......... .......... 15% 4.26M 6s
[2024-03-28T16:45:24.945+0000] {subprocess.py:93} INFO -   5800K .......... .......... .......... .......... .......... 15%  269M 6s
[2024-03-28T16:45:24.960+0000] {subprocess.py:93} INFO -   5850K .......... .......... .......... .......... .......... 15%  278M 6s
[2024-03-28T16:45:24.964+0000] {subprocess.py:93} INFO -   5900K .......... .......... .......... .......... .......... 15%  181M 6s
[2024-03-28T16:45:24.980+0000] {subprocess.py:93} INFO -   5950K .......... .......... .......... .......... .......... 15%  311M 6s
[2024-03-28T16:45:24.988+0000] {subprocess.py:93} INFO -   6000K .......... .......... .......... .......... .......... 15%  350M 6s
[2024-03-28T16:45:25.032+0000] {subprocess.py:93} INFO -   6050K .......... .......... .......... .......... .......... 15%  311M 6s
[2024-03-28T16:45:25.086+0000] {subprocess.py:93} INFO -   6100K .......... .......... .......... .......... .......... 16%  308M 6s
[2024-03-28T16:45:25.087+0000] {subprocess.py:93} INFO -   6150K .......... .......... .......... .......... .......... 16%  375M 6s
[2024-03-28T16:45:25.091+0000] {subprocess.py:93} INFO -   6200K .......... .......... .......... .......... .......... 16%  194M 6s
[2024-03-28T16:45:25.098+0000] {subprocess.py:93} INFO -   6250K .......... .......... .......... .......... .......... 16%  299M 5s
[2024-03-28T16:45:25.107+0000] {subprocess.py:93} INFO -   6300K .......... .......... .......... .......... .......... 16%  296M 5s
[2024-03-28T16:45:25.108+0000] {subprocess.py:93} INFO -   6350K .......... .......... .......... .......... .......... 16%  264M 5s
[2024-03-28T16:45:25.109+0000] {subprocess.py:93} INFO -   6400K .......... .......... .......... .......... .......... 16%  252M 5s
[2024-03-28T16:45:25.111+0000] {subprocess.py:93} INFO -   6450K .......... .......... .......... .......... .......... 16%  287M 5s
[2024-03-28T16:45:25.122+0000] {subprocess.py:93} INFO -   6500K .......... .......... .......... .......... .......... 17%  258M 5s
[2024-03-28T16:45:25.124+0000] {subprocess.py:93} INFO -   6550K .......... .......... .......... .......... .......... 17%  254M 5s
[2024-03-28T16:45:25.129+0000] {subprocess.py:93} INFO -   6600K .......... .......... .......... .......... .......... 17%  352M 5s
[2024-03-28T16:45:25.133+0000] {subprocess.py:93} INFO -   6650K .......... .......... .......... .......... .......... 17%  289M 5s
[2024-03-28T16:45:25.142+0000] {subprocess.py:93} INFO -   6700K .......... .......... .......... .......... .......... 17% 1.22M 5s
[2024-03-28T16:45:25.145+0000] {subprocess.py:93} INFO -   6750K .......... .......... .......... .......... .......... 17% 30.8M 5s
[2024-03-28T16:45:25.161+0000] {subprocess.py:93} INFO -   6800K .......... .......... .......... .......... .......... 17% 24.9M 5s
[2024-03-28T16:45:25.178+0000] {subprocess.py:93} INFO -   6850K .......... .......... .......... .......... .......... 17%  298M 5s
[2024-03-28T16:45:25.186+0000] {subprocess.py:93} INFO -   6900K .......... .......... .......... .......... .......... 18%  278M 5s
[2024-03-28T16:45:25.189+0000] {subprocess.py:93} INFO -   6950K .......... .......... .......... .......... .......... 18%  279M 5s
[2024-03-28T16:45:25.192+0000] {subprocess.py:93} INFO -   7000K .......... .......... .......... .......... .......... 18%  283M 5s
[2024-03-28T16:45:25.195+0000] {subprocess.py:93} INFO -   7050K .......... .......... .......... .......... .......... 18%  315M 5s
[2024-03-28T16:45:25.196+0000] {subprocess.py:93} INFO -   7100K .......... .......... .......... .......... .......... 18%  375M 5s
[2024-03-28T16:45:25.196+0000] {subprocess.py:93} INFO -   7150K .......... .......... .......... .......... .......... 18%  301M 5s
[2024-03-28T16:45:25.197+0000] {subprocess.py:93} INFO -   7200K .......... .......... .......... .......... .......... 18%  334M 5s
[2024-03-28T16:45:25.197+0000] {subprocess.py:93} INFO -   7250K .......... .......... .......... .......... .......... 18%  370M 5s
[2024-03-28T16:45:25.197+0000] {subprocess.py:93} INFO -   7300K .......... .......... .......... .......... .......... 19%  383M 5s
[2024-03-28T16:45:25.203+0000] {subprocess.py:93} INFO -   7350K .......... .......... .......... .......... .......... 19%  229M 5s
[2024-03-28T16:45:25.213+0000] {subprocess.py:93} INFO -   7400K .......... .......... .......... .......... .......... 19% 7.83M 5s
[2024-03-28T16:45:25.216+0000] {subprocess.py:93} INFO -   7450K .......... .......... .......... .......... .......... 19% 34.0M 5s
[2024-03-28T16:45:25.217+0000] {subprocess.py:93} INFO -   7500K .......... .......... .......... .......... .......... 19% 7.72M 5s
[2024-03-28T16:45:25.218+0000] {subprocess.py:93} INFO -   7550K .......... .......... .......... .......... .......... 19% 21.9M 5s
[2024-03-28T16:45:25.219+0000] {subprocess.py:93} INFO -   7600K .......... .......... .......... .......... .......... 19% 23.2M 5s
[2024-03-28T16:45:25.223+0000] {subprocess.py:93} INFO -   7650K .......... .......... .......... .......... .......... 20% 7.75M 5s
[2024-03-28T16:45:25.229+0000] {subprocess.py:93} INFO -   7700K .......... .......... .......... .......... .......... 20% 21.1M 5s
[2024-03-28T16:45:25.233+0000] {subprocess.py:93} INFO -   7750K .......... .......... .......... .......... .......... 20% 9.07M 5s
[2024-03-28T16:45:25.234+0000] {subprocess.py:93} INFO -   7800K .......... .......... .......... .......... .......... 20% 25.3M 5s
[2024-03-28T16:45:25.256+0000] {subprocess.py:93} INFO -   7850K .......... .......... .......... .......... .......... 20% 8.34M 4s
[2024-03-28T16:45:25.262+0000] {subprocess.py:93} INFO -   7900K .......... .......... .......... .......... .......... 20% 20.0M 4s
[2024-03-28T16:45:25.275+0000] {subprocess.py:93} INFO -   7950K .......... .......... .......... .......... .......... 20% 2.90M 4s
[2024-03-28T16:45:25.299+0000] {subprocess.py:93} INFO -   8000K .......... .......... .......... .......... .......... 20% 47.6M 4s
[2024-03-28T16:45:25.316+0000] {subprocess.py:93} INFO -   8050K .......... .......... .......... .......... .......... 21%  234M 4s
[2024-03-28T16:45:25.323+0000] {subprocess.py:93} INFO -   8100K .......... .......... .......... .......... .......... 21%  348M 4s
[2024-03-28T16:45:25.324+0000] {subprocess.py:93} INFO -   8150K .......... .......... .......... .......... .......... 21%  346M 4s
[2024-03-28T16:45:25.324+0000] {subprocess.py:93} INFO -   8200K .......... .......... .......... .......... .......... 21% 14.5M 4s
[2024-03-28T16:45:25.325+0000] {subprocess.py:93} INFO -   8250K .......... .......... .......... .......... .......... 21% 47.1M 4s
[2024-03-28T16:45:25.325+0000] {subprocess.py:93} INFO -   8300K .......... .......... .......... .......... .......... 21% 17.1M 4s
[2024-03-28T16:45:25.325+0000] {subprocess.py:93} INFO -   8350K .......... .......... .......... .......... .......... 21% 1.52M 4s
[2024-03-28T16:45:25.326+0000] {subprocess.py:93} INFO -   8400K .......... .......... .......... .......... .......... 21% 13.1M 4s
[2024-03-28T16:45:25.326+0000] {subprocess.py:93} INFO -   8450K .......... .......... .......... .......... .......... 22% 18.3M 4s
[2024-03-28T16:45:25.326+0000] {subprocess.py:93} INFO -   8500K .......... .......... .......... .......... .......... 22% 3.76M 4s
[2024-03-28T16:45:25.327+0000] {subprocess.py:93} INFO -   8550K .......... .......... .......... .......... .......... 22% 11.0M 4s
[2024-03-28T16:45:25.327+0000] {subprocess.py:93} INFO -   8600K .......... .......... .......... .......... .......... 22% 9.68M 4s
[2024-03-28T16:45:25.328+0000] {subprocess.py:93} INFO -   8650K .......... .......... .......... .......... .......... 22% 6.08M 4s
[2024-03-28T16:45:25.328+0000] {subprocess.py:93} INFO -   8700K .......... .......... .......... .......... .......... 22% 1.76M 4s
[2024-03-28T16:45:25.328+0000] {subprocess.py:93} INFO -   8750K .......... .......... .......... .......... .......... 22%  206M 4s
[2024-03-28T16:45:25.328+0000] {subprocess.py:93} INFO -   8800K .......... .......... .......... .......... .......... 23%  354M 4s
[2024-03-28T16:45:25.329+0000] {subprocess.py:93} INFO -   8850K .......... .......... .......... .......... .......... 23%  352M 4s
[2024-03-28T16:45:25.329+0000] {subprocess.py:93} INFO -   8900K .......... .......... .......... .......... .......... 23%  323M 4s
[2024-03-28T16:45:25.329+0000] {subprocess.py:93} INFO -   8950K .......... .......... .......... .......... .......... 23%  415M 4s
[2024-03-28T16:45:25.330+0000] {subprocess.py:93} INFO -   9000K .......... .......... .......... .......... .......... 23%  332M 4s
[2024-03-28T16:45:25.331+0000] {subprocess.py:93} INFO -   9050K .......... .......... .......... .......... .......... 23%  250M 4s
[2024-03-28T16:45:25.331+0000] {subprocess.py:93} INFO -   9100K .......... .......... .......... .......... .......... 23%  263M 4s
[2024-03-28T16:45:25.332+0000] {subprocess.py:93} INFO -   9150K .......... .......... .......... .......... .......... 23%  375M 4s
[2024-03-28T16:45:25.333+0000] {subprocess.py:93} INFO -   9200K .......... .......... .......... .......... .......... 24%  350M 4s
[2024-03-28T16:45:25.333+0000] {subprocess.py:93} INFO -   9250K .......... .......... .......... .......... .......... 24%  308M 4s
[2024-03-28T16:45:25.334+0000] {subprocess.py:93} INFO -   9300K .......... .......... .......... .......... .......... 24%  318M 4s
[2024-03-28T16:45:25.334+0000] {subprocess.py:93} INFO -   9350K .......... .......... .......... .......... .......... 24%  386M 4s
[2024-03-28T16:45:25.334+0000] {subprocess.py:93} INFO -   9400K .......... .......... .......... .......... .......... 24%  241M 4s
[2024-03-28T16:45:25.335+0000] {subprocess.py:93} INFO -   9450K .......... .......... .......... .......... .......... 24%  268M 4s
[2024-03-28T16:45:25.335+0000] {subprocess.py:93} INFO -   9500K .......... .......... .......... .......... .......... 24% 1.50M 4s
